
======================================================================
  OVERALL COMPLIANCE SCORE REPORT
  1818 documents | 1795 scored | 23 failed/skipped
======================================================================

  COMPLIANCE SCORE
  (weighted composite of 4 pillars — this is the primary score)
    Mean: 97.7      Median: 99.0      Range: 67.8 - 100.0
    Compliance rate (>=75): 99.9% (1794/1795)

    Distribution:
      Excellent (90-100) |█████████████████████████████░| 1727 (96.2%)
      Good      (75-89)  |█░░░░░░░░░░░░░░░░░░░░░░░░░░░░░|  67 ( 3.7%)
      Fair      (60-74)  |░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░|   1 ( 0.1%)
      Poor      (< 60)   |░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░|   0 ( 0.0%)

  GATED SCORE BREAKDOWN
  (derived from Compliance Score with knockout caps for critical issues)
    Mean: 97.7      Median: 99.0
    Knockouts applied: 2 documents
    Compliance rate (>=75): 99.9% (1794/1795)

  PILLAR AVERAGES (weakest -> strongest):
    Content Preservation         0.9484  <- weakest
    Structural Compliance        0.9767
    Axe-Core Compliance          0.9961
    HTML Quality                 0.9997

  PER-DOCUMENT SCORES:
  Filename                             Score Gated  Conf   Acc  HTML   Axe  Flags
  ------------------------------------ ----- ----- ----- ----- ----- -----  ----------
  01112018standardsagenda__685fca8b.p  100.0 100.0  1.00  1.00  1.00  1.00  -
  01232020-funding-committee-approved  100.0 100.0  1.00  1.00  1.00  1.00  -
  01232020-funding-meeting-agenda__68  100.0 100.0  1.00  1.00  1.00  1.00  -
  01242014-secondary-psap-policy__685  100.0 100.0  1.00  1.00  1.00  1.00  -
  02202020-funding-committee-approved  100.0 100.0  1.00  1.00  1.00  1.00  -
  02202020eduagenda__685fa03a.pdf      100.0 100.0  1.00  1.00  1.00  1.00  -
  02232018-funding-reconsideration-po  100.0 100.0  1.00  1.00  1.00  1.00  -
  05142020-technology-committee-minut  100.0 100.0  1.00  1.00  1.00  1.00  -
  06182020-funding-committee-approved  100.0 100.0  1.00  1.00  1.00  1.00  -
  062020standardsagenda__685fa2d5.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  07232020-funding-committee-approved  100.0 100.0  1.00  1.00  1.00  1.00  -
  08-13-2020-technology-committee-min  100.0 100.0  1.00  1.00  1.00  1.00  -
  08202020-funding-committee-approved  100.0 100.0  1.00  1.00  1.00  1.00  -
  09172020-funding-committee-approved  100.0 100.0  1.00  1.00  1.00  1.00  -
  09172020-funding-committee-meeting-  100.0 100.0  1.00  1.00  1.00  1.00  -
  11-07-19-education-committee-minute  100.0 100.0  1.00  1.00  1.00  1.00  -
  11152019-funding-meeting-agenda__68  100.0 100.0  1.00  1.00  1.00  1.00  -
  11192019-funding-committee-approved  100.0 100.0  1.00  1.00  1.00  1.00  -
  2019-06-17-204d-printer-mfd-faqs__6  100.0 100.0  1.00  1.00  1.00  1.00  -
  2019-20-smac-work-plan__685fadcf.pd  100.0 100.0  1.00  1.00  1.00  1.00  -
  2019-2020-ncdit-overview__686b1737.  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190118-board-agenda__687248c4.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190222-nc911-board-minutesapprove  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190322-board-agenda__687248c3.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190416-nc-911-board-minutes-appro  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190426-board-agenda__687248c3.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190517-nc-911-board-minutes-appro  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190628-board-agenda__685f9dcf.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190628-nc-911-board-minutes-appro  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190726-board-agenda__685f9db9.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190726-nc-911-board-minutes-appro  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190823-nc-911-board-minutes-appro  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190826-nc-911-board-minutes-appro  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190927-board-agenda__685f9d4d.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20190927-nc-911-board-minutes-appro  100.0 100.0  1.00  1.00  1.00  1.00  -
  20191025-board-agenda__685f9d34.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20191206-board-agenda__685f9d07.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20191206-board-work-session-agenda_  100.0 100.0  1.00  1.00  1.00  1.00  -
  2020-2021-smac-work-plan__685fadca.  100.0 100.0  1.00  1.00  1.00  1.00  -
  202000925-board-agenda__685f9c65.pd  100.0 100.0  1.00  1.00  1.00  1.00  -
  20200228-nc911-board-minutes-approv  100.0 100.0  1.00  1.00  1.00  1.00  -
  20200327-board-agenda__685f9cd9.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20200327-nc911-board-minutes-approv  100.0 100.0  1.00  1.00  1.00  1.00  -
  20200424-board-agenda__685f9cbd.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20200424-nc911-board-minutes-approv  100.0 100.0  1.00  1.00  1.00  1.00  -
  20200522-board-agenda__685f9ca8.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20200626-board-agenda__685f9c91.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20200828-board-agenda__685f9c7c.pdf  100.0 100.0  1.00  1.00  1.00  1.00  -
  20201204-nc911-board-minutes-approv  100.0 100.0  1.00  1.00  1.00  1.00  -
  2021-2022-smac-work-plan__685fadb8.  100.0 100.0  1.00  1.00  1.00  1.00  -
  2022-reference-frame-working-group-  100.0 100.0  1.00  1.00  1.00  1.00  -
