,slug,audit_summary,fidelity_composite,fidelity_content,fidelity_structural,fidelity_visual
0,10-22-20-edu-committee-agenda-packet-685f9fde,"Score=79, Grade=Fair, Routing=human_review",0.7843,0.883720930232558,1.0,0.5
1,911-board-technology-committee-agenda-june-9-2022-685fa07f,"Score=60, Grade=Fair, Routing=human_review",0.6000000000000001,,0.7272727272727271,0.5
2,esrmo-newsletter-april-2024-686b1c64,"Score=60, Grade=Fair, Routing=human_review",0.5891000000000001,0.9883720930232551,0.22727272727272702,0.5
3,gicc-goals-and-strategic-direction-2021-23-685fd67f,"Score=84, Grade=Fair, Routing=human_review",0.8443,1.0,0.772727272727272,0.75
4,gicc-mo-minutes-20191216-68614cc3,"Score=60, Grade=Fair, Routing=human_review",0.6000000000000001,,0.5,1.0
5,logo-imagery-screenshot-imagery-fca1,"Score=15, Grade=Critical, Routing=reject",,,,
6,logos-graphic-colors-table-screenshot-images-fc98,"Score=40, Grade=Poor, Routing=reject",0.4,0.651162790697674,0.7272727272727271,0.449999999999999
7,scio-physical-and-environmental-protection-686b1b84,"Score=40, Grade=Poor, Routing=reject",0.4,0.63953488372093,0.09090909090909001,0.5
8,standards-committee-meeting-agenda-packet-october-7-2021-685fa26e,"Score=15, Grade=Critical, Routing=reject",,,,
9,table-seal-imagery-diagram-1468,"Score=78, Grade=Fair, Routing=human_review",0.8047000000000001,0.9418604651162791,1.0,0.5
