Document	Auditor	Composite	Content	Structural	Visual
10-22-20-edu-committee-agenda-packet-685f9fde	REJECT	40%	64%	32%	50%
2019-20-smac-work-plan-685fadcf	APPROVE	100%	100%	100%	100%
20190416-nc-911-board-minutes-approved-687248c4	APPROVE	85%	100%	50%	100%
20190726-board-agenda-685f9db9	APPROVE	100%	100%	100%	100%
20190814-nc-911-board-minutes-approved-685f9d99	APPROVE	99%	100%	95%	100%
20200522-board-agenda-685f9ca8	APPROVE	99%	100%	95%	100%
20200522-nc911-board-minutes-approved-685f9cb7	APPROVE	98%	94%	100%	100%
208m-endpoint-reseller-price-list-686b18db	REJECT	60%		77%	50%
911-board-education-committee-meeting-minutes-april-21-2022-685f9f9d	APPROVE	100%	100%	100%	100%
911-board-technology-committee-agenda-june-9-2022-685fa07f	FLAG	81%	99%	68%	75%
911-education-committee-meeting-agenda-packet-03-25-2021-685f9fa9	REJECT	40%	65%	9%	75%
911-telecommunicators-resolution-mitchell-county-685f6fd1	FLAG	91%	99%	100%	75%
911-telecommunicators-resolution-rockingham-county-685f6ff5	FLAG	91%	100%	100%	75%
agency-onboarding-68607a87	FLAG	100%	100%	100%	100%
appenc-initialdatalayers-685fad7d	FLAG	100%	100%	100%	100%
colored-text-logos-676a	APPROVE	98%	99%	95%	100%
create-beautiful-sharepoint-sites-685fb98c	REJECT	60%		77%	50%
cyber-incident-reporting-north-carolina-state-government-686b1b59	APPROVE	100%	100%	100%	100%
draft-addressnc-specifications-20210811-68610610	REJECT	40%	59%		50%
draft-fy23-25-goals-and-priorities-685fc8b0	APPROVE	91%	100%	100%	75%
esrmo-newsletter-april-2017-686b1f74	APPROVE	91%	100%	100%	75%
esrmo-newsletter-april-2024-686b1c64	REJECT	40%	71%	73%	75%
esrmo-newsletter-december-2018-686b1ee1	APPROVE	93%	100%	77%	100%
esrmo-newsletter-january-2017-686b1f87	FLAG	84%	100%	77%	75%
esrmo-newsletter-july-2021-686b1e10	FLAG	81%	100%	95%	50%
esrmo-newsletter-march-2018-686b1f23	APPROVE	90%	100%	95%	75%
esrmo-newsletter-september-2021-686b1e03	APPROVE	91%	100%	100%	75%
federal-interagency-committee-agenda20190516-68614dc2	APPROVE	92%	100%	73%	100%
federalagencyhurricanecoordination-686132f8	FLAG	72%	94%	73%	50%
fillable-form-logo-imagery-bddf	APPROVE	100%	100%	100%	100%
fillable-form-logo-imagery-bdfc	APPROVE	91%	100%	100%	75%
gdac-legislative-report-may-2016-68610a4b	FLAG	67%	99%	50%	50%
gicc-2020-census-nc-factsheet-20170809-686131e8	APPROVE	89%	93%	100%	75%
gicc-agenda-05-19-2021-68611645	APPROVE	100%	100%	100%	100%
gicc-agenda-20160810-68613387	APPROVE	100%	100%	100%	100%
gicc-agenda-20200506-68839aed	APPROVE	90%	100%	95%	75%
gicc-goals-2021-2023-discussion-68612ed7	APPROVE	91%	100%	100%	75%
gicc-goals-and-strategic-direction-2021-23-685fd67f	FLAG	78%	100%	55%	75%
gicc-lgc-censussurveyresults-20200506-68839ae8	FLAG	82%	100%	100%	50%
gicc-meeting-minutes-02122003-685fb099	APPROVE	100%	100%	100%	100%
gicc-meeting-minutes-08072007-685fb034	APPROVE	100%	100%	100%	100%
gicc-mo-minutes-20191216-68614cc3	APPROVE	90%	100%	68%	100%
gicc-ncdot-florence-20181107-68614eed	REJECT	60%		77%	50%
gicc-smac-agenda-20210120-68839aac	FLAG	85%	99%	50%	100%
gicc-tims-may-2016-686133f1	FLAG	60%			75%
ifb-its-400277-2017-1102-final-686b18e9	FAILED				
logo-imagery-graphic-colors-map-imagery-6e2e	FLAG	100%	100%	100%	100%
logo-imagery-graphic-colors-map-imagery-f80b	FLAG	76%	100%	77%	50%
logo-imagery-graphic-colors-map-imagery-tables-4807	FLAG	80%	94%	100%	50%
logo-imagery-screenshot-imagery-fca1	FLAG	58%		95%	25%
logo-tables-shading-watermark-photos-13a3	REJECT	40%	65%	45%	100%
logos-graphic-colors-photos-icons-diagrams-charts-53de	FLAG	71%	100%	32%	75%
logos-graphic-colors-photos-icons-diagrams-charts-53e1	FLAG	60%		50%	75%
logos-graphic-colors-table-screenshot-images-fc98	FLAG	83%	100%	73%	75%
long-contract-many-pages-of-tables-6881	FAILED				
map-imagery-logo-imagery-4809	FLAG	82%	100%	100%	50%
map-imagery-logo-imagery-f810	FLAG	82%	100%	100%	50%
map-imagery-photos-tables-screenshots-diagrams-data-charts-0fb1	FLAG	60%		50%	100%
map-imagery-photos-tables-screenshots-diagrams-data-charts-365a	FLAG	92%	100%	73%	100%
map-imagery-photos-tables-screenshots-diagrams-data-charts-ff40	FLAG	100%	100%	100%	100%
map-imagery-photos-tables-screenshots-diagrams-data-charts-i-e5cc	FLAG	60%			100%
map-imagery-photos-tables-screenshots-diagrams-data-charts-i-f7f6	FLAG	50%			50%
memo-with-links-1334	REJECT	40%	71%	95%	100%
mo-minutes-20160620-686133d2	APPROVE	92%	100%	73%	100%
mostly-text-charts-tables-screenshots-maps-67fb	APPROVE	98%	94%	100%	100%
multi-factor-authentication-report-december-2015-68613ee4	APPROVE	100%	100%	100%	100%
nc-911-board-education-committee-meeting-agenda-packet-feb-685f9e81	FLAG	90%	100%	95%	75%
nc-911-board-meeting-agenda-aug-26-2022-685f9a31	FLAG	76%	100%	77%	50%
nc-911-board-minutes-september-30-2022-685f9a2b	APPROVE	88%	94%	68%	100%
nc-911-board-monthly-dispatch-march-2025-685f7179	FLAG	91%	99%	73%	100%
nc-911-board-technology-committee-minutes-nov-4-2021-685fa41d	FLAG	83%	100%	73%	75%
ncom-update-gicc-05-15-2014-68612fe6	FLAG	91%	100%	100%	75%
near-perfect-powerpoint-slides-by-accessibility-experts-47b0	FLAG	60%			100%
near-perfect-powerpoint-slides-by-accessibility-experts-47b2	APPROVE	90%	100%	95%	75%
newsletter-with-many-images-and-formatted-text-117c	APPROVE	97%	100%	91%	100%
newsletter-with-many-images-and-formatted-text-21fb	FLAG	50%			50%
powerpoint-slides-1793	REJECT	50%			50%
powerpoint-slides-f832	REJECT	40%	65%	77%	50%
powerpoint-slides-fed0	REJECT	40%	71%	100%	75%
powerpoint-slides-feef	APPROVE	88%	94%	95%	75%
powerpoint-slides-fef1	REJECT	40%	71%	73%	75%
powerpoint-slides-fef5	FLAG	91%	100%	100%	75%
powerpoint-slides-ff0a	FLAG	91%	100%	100%	75%
